Price, Name, CategoryName, CatalogId
1.82,Axle,QF8259,1
1.81,Axle,QF8259,2
1.71,Axle,QF8259,3
1.82,Axle,QF8259,4
1.82,Axle,QF8259,5
1.83,Axle,QF8259,6
1.69,Axle,QF8259,7
1.82,Axle,QF8259,8
1.85,Axle,QF8259,9
1.84,Axle,QF8259,10
1.71,Axle,QF8259,11
1.81,Axle,QF8259,12
1.80,Axle,QF8259,13
1.83,Axle,QF8259,14
1.80,Axle,QF8259,15
1.70,Axle,QF8259,16
1.71,Axle,QF8259,17
1.72,Axle,QF8259,18
1.77,Axle,QF8259,19
1.80,Axle,QF8259,20
1.83,Axle,QF8259,21
1.76,Axle,QF8259,22
1.81,Axle,QF8259,23
1.81,Axle,QF8259,24
1.85,Axle,QF8259,25
1.85,Axle,QF8259,26
1.78,Axle,QF8259,27
1.77,Axle,QF8259,28
1.78,Axle,QF8259,29
1.78,Axle,QF8259,30
1.73,Axle,QF8259,31
1.73,Axle,QF8259,32
1.71,Axle,QF8259,33
1.73,Axle,QF8259,34
1.75,Axle,QF8259,35
1.81,Axle,QF8259,36
1.71,Axle,QF8259,37
1.69,Axle,QF8259,38
1.70,Axle,QF8259,39
1.69,Axle,QF8259,40
1.73,Axle,QF8259,41
1.72,Axle,QF8259,42
1.71,Axle,QF8259,43
1.80,Axle,QF8259,44
1.71,Axle,QF8259,45
1.72,Axle,QF8259,46
1.85,Axle,QF8259,47
1.85,Axle,QF8259,48
1.72,Axle,QF8259,49
1.81,Axle,QF8259,50
1.73,Axle,QF8259,51
1.76,Axle,QF8259,52
1.81,Axle,QF8259,53
1.71,Axle,QF8259,54
1.72,Axle,QF8259,55
1.76,Axle,QF8259,56
1.85,Axle,QF8259,57
1.75,Axle,QF8259,58
1.83,Axle,QF8259,59
1.83,Axle,QF8259,60
1.73,Axle,QF8259,61
1.78,Axle,QF8259,62
1.73,Axle,QF8259,63
1.76,Axle,QF8259,64
1.80,Axle,QF8259,65
1.83,Axle,QF8259,66
1.78,Axle,QF8259,67
1.75,Axle,QF8259,68
1.77,Axle,QF8259,69
1.84,Axle,QF8259,70
1.84,Axle,QF8259,71
1.71,Axle,QF8259,72
1.70,Axle,QF8259,73
1.76,Axle,QF8259,74
1.76,Axle,QF8259,75
1.80,Axle,QF8259,76
1.74,Axle,QF8259,77
1.70,Axle,QF8259,78
1.79,Axle,QF8259,79
1.82,Axle,QF8259,80
1.69,Axle,QF8259,81
1.79,Axle,QF8259,82
1.73,Axle,QF8259,83
1.82,Axle,QF8259,84
1.74,Axle,QF8259,85
1.82,Axle,QF8259,86
1.78,Axle,QF8259,87
1.69,Axle,QF8259,88
1.70,Axle,QF8259,89
1.85,Axle,QF8259,90
1.82,Axle,QF8259,91
1.82,Axle,QF8259,92
1.72,Axle,QF8259,93
1.73,Axle,QF8259,94
1.81,Axle,QF8259,95
1.80,Axle,QF8259,96
1.85,Axle,QF8259,97
1.80,Axle,QF8259,98
1.69,Axle,QF8259,99
1.74,Axle,QF8259,100
1.79,Axle,QF8259,101
1.79,Axle,QF8259,102
1.76,Axle,QF8259,103
1.74,Axle,QF8259,104
1.82,Axle,QF8259,105
1.70,Axle,QF8259,106
1.74,Axle,QF8259,107
1.73,Axle,QF8259,108
1.81,Axle,QF8259,109
1.78,Axle,QF8259,110
1.71,Axle,QF8259,111
1.84,Axle,QF8259,112
1.83,Axle,QF8259,113
1.70,Axle,QF8259,114
1.83,Axle,QF8259,115
1.80,Axle,QF8259,116
1.74,Axle,QF8259,117
1.76,Axle,QF8259,118
1.71,Axle,QF8259,119
1.83,Axle,QF8259,120
1.73,Axle,QF8259,121
1.78,Axle,QF8259,122
1.74,Axle,QF8259,123
1.78,Axle,QF8259,124
1.71,Axle,QF8259,125
1.71,Axle,QF8259,126
1.85,Axle,QF8259,127
1.83,Axle,QF8259,128
1.81,Axle,QF8259,129
1.81,Axle,QF8259,130
1.80,Axle,QF8259,131
1.79,Axle,QF8259,132
